#,PLAYER_ID,Player,Pos,Team,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
65,16445,Jeremy McNichols,RB,TEN,13,6.3,5.9,8.6,16.5,5.5,-,2,6.3,6.5,1.8,-,-,-,1.6,8.1,3.1,1.4,-,5.7,73.6
66,00-0034253,Dontrell Hilliard,RB,TEN,8,-,-,-,-,-,-,-,0,-,-,16.2,18.3,-,1.3,9.9,3.4,16.8,6.8,9.1,72.7
67,00-0032426,Alex Collins,RB,SEA,11,-,2.5,0.8,15.8,9.2,16.8,5.4,4.4,-,5.9,3.6,1.7,-,2.7,-,-,-,-,6.3,68.8
68,00-0032780,Jordan Howard,RB,PHI,7,-,-,-,-,-,-,-,17.7,13.1,8.3,6.3,-,-,-,6.9,7.6,2.6,-,8.9,62.5
69,18616,Travis Homer,RB,SEA,14,0,3.4,7.8,0.5,2.8,6.4,1.4,8.2,-,5.5,0.4,-,19,-,-,0,2.7,3.7,4.4,61.8
70,00-0030874,Damien Williams,RB,CHI,12,8,2.4,0,15,16.4,-,1.8,-0.3,-,-,-,-,-,2.7,0,2.4,0,12.3,5.1,60.7
71,19521,DeeJay Dallas,RB,SEA,17,2,0,0,0,5.9,10,0,0.6,-,0,9.7,8.1,0,1.6,14.2,7.8,0.1,0.1,3.5,60.1
72,00-0030456,Giovani Bernard,RB,TB,10,3.2,3.6,20.1,-,11.5,2.4,2.5,10.7,-,1.8,1.3,-,2,-,-,-,-,-,5.9,59.1
72,00-0032257,Duke Johnson Jr.,RB,MIA,5,-,-,-,-,-,-,-,-,-,-,1.8,-,-,-,25.7,3.9,8.5,19.2,11.8,59.1
74,00-0035715,Derrick Gore,RB,KC,8,-,-,-,-,-,-,1.7,10.8,2.9,1.9,-,-,-,16.9,-,13.4,5.5,3,7,56.1
75,20155,Jaret Patterson,RB,WAS,14,0.9,-,-,2.2,1.3,1.3,BYE,4.6,-,0.7,2.3,0,0.2,4.8,8,3.3,20.8,5.5,4,55.9
76,18026,Jeff Wilson Jr.,RB,FA,9,-,-,-,-,-,-,-,-,-,2.8,6.8,1.7,0,5.6,19.9,14.7,0,0,5.7,51.5
76,00-0032058,Tevin Coleman,RB,NYJ,11,2.4,2.4,-,5.1,1.1,-,-,-,-,5.3,2.8,9,10.7,-,5,7.1,-,0.6,4.7,51.5
78,00-0036654,Demetric Felton Jr.,RB,CLE,15,0,13.1,3.3,3.2,0,3.4,6.4,2.7,3.2,-,0.2,0,-,0,4.6,0,-,10.4,3.4,50.5
79,16879,Dare Ogunbowale,RB,JAX,13,0,-,-,0.3,2.9,0,-,2.8,1.5,-,-,0,0,2.5,1.6,15.2,14.8,8.5,3.9,50.1
80,00-0032741,Peyton Barber,RB,LV,10,-,3.2,23.2,0,-,-,-,-,-,0,0.3,-,1.2,4,5.6,9.2,3.2,-,5,49.9
81,00-0036857,Chris Evans,RB,CIN,9,-,2.4,4.6,-,3.5,15.7,-,-,2.1,-,1.7,3.8,-,-,-,0.1,-,15.9,5.5,49.8
82,00-0035806,JaMycal Hasty,RB,SF,11,8.8,9.9,-,-,-,-,4.6,5.3,4.3,-,-,-,0,4,0.6,5.9,1.6,4.5,4.5,49.5
83,00-0033594,Chris Carson,RB,SEA,4,12.7,15.1,16.2,4.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,48.1
84,00-0031045,Carlos Hyde,RB,JAX,12,7.8,0.7,4.4,-,1.3,0,-,13.2,6.3,1.4,0,1.6,7.3,1.8,-,-,-,-,3.8,45.8
85,00-0034109,Phillip Lindsay,RB,MIA,14,8.5,9.4,0.5,-0.1,1.9,7.4,0.8,0.8,2.8,-,-0.3,4.2,-,-,-,3.6,1.9,4,3.2,45.4
86,00-0033308,Matt Breida,RB,BUF,7,0.4,-,-,-,-,-,-,-,-,18,7.7,13.5,1.8,1.2,0.1,-,-,-,6.1,42.7
87,00-0036457,Ty'Son Williams,RB,BAL,8,18.4,11.3,2.2,-,4.1,-,5.4,-,0,-,-,0.1,-,-,-,-,-,0.4,5.2,41.9
