#,PLAYER_ID,Player,Pos,Team,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
1,19788,Ja'Marr Chase,WR,CIN,17,12.2,7.5,29.8,17.5,41.3,12.2,17.6,20.4,11.3,55.4,26.5,BYE,20.6,45.1,18.4,22.4,19.2,25.6,23.7,403
2,19236,Justin Jefferson,WR,MIN,17,15.9,23.3,20.1,20.5,15.2,BYE,21.4,19.5,21.6,9.8,14.1,4.7,16.9,32.2,20.3,36.4,17.2,8.4,18.7,317.5
3,19799,Amon-Ra St. Brown,WR,DET,17,4.3,22.9,20.5,20.8,BYE,13.7,25.2,8.7,18.6,18,38.7,12.2,12.3,10.3,37.3,19,20,13.7,18.6,316.2
4,23000,Brian Thomas Jr.,WR,JAX,17,14.7,11.4,9.8,21.9,23.2,5.7,22.1,15,6.2,3.2,13.6,BYE,18.7,16.6,32.5,28.2,23.9,17.3,16.7,284
5,23163,Drake London,WR,ATL,17,3.5,17.4,18.7,12.4,33.4,19.4,18.3,7.4,10.7,17.7,9.1,BYE,17.3,12,14.3,10.9,17.6,40.7,16.5,280.8
6,25409,Malik Nabers,WR,NYG,15,11.6,28.7,28.2,23.1,-,-,8.1,14.1,14.9,10.8,BYE,12.4,15.3,14.9,24.2,13.8,36.1,17.4,18.2,273.6
7,18466,Terry McLaurin,WR,WAS,17,3.7,8.2,20,18.2,13.4,23.3,15.8,17.5,15.9,16.3,2,21.2,27.3,BYE,26.3,17,1.5,20.2,15.8,267.8
8,19202,CeeDee Lamb,WR,DAL,15,13.6,19,8.7,23.6,11.4,16.1,BYE,39.6,16.2,8.4,18.6,16.8,5.9,21.4,26.6,17.5,-,-,17.6,263.4
9,23070,Jaxon Smith-Njigba,WR,SEA,17,3.9,23.7,6.9,13.1,13.1,10.3,5.3,12.9,37,BYE,21.8,19.7,11.9,19.6,18.3,24,6.2,5.3,14.9,253
10,23072,Garrett Wilson,WR,NYJ,17,12,10.2,14.3,7.1,29.1,24.7,13.1,16.3,30,9.1,5.8,BYE,9.1,18.4,14.6,11.4,17.6,9.1,14.8,251.9
