season,week,eligible_qb,eligible_rb,eligible_wr,eligible_te,samples,mean,stdev,min,p05,p10,p25,p50,p75,p90,p95,max,score_ge_100_rate
2021,10,19,41,73,21,20000,101.696,18.686,41.000,72.000,78.000,88.700,100.900,114.100,126.300,133.705,185.300,0.5202
2021,11,22,40,74,19,20000,106.478,23.249,42.100,71.500,78.100,90.100,104.800,120.800,137.500,147.900,218.400,0.5856
2021,12,21,45,74,25,20000,101.040,19.120,37.400,71.400,77.500,87.900,99.900,113.200,125.900,134.600,199.000,0.4972
2021,13,21,36,71,20,20000,107.397,21.142,34.000,74.700,80.800,92.600,106.300,120.700,135.200,144.200,196.100,0.6208
2021,14,19,37,69,14,20000,117.724,21.088,44.500,84.200,91.200,103.100,116.850,131.500,145.100,153.600,200.400,0.7984
2021,15,23,50,80,20,20000,96.641,20.237,39.500,66.100,71.800,82.000,95.100,109.700,123.700,132.400,185.200,0.4067
2021,16,20,46,76,19,20000,107.811,21.330,41.400,75.195,81.600,92.600,106.400,121.400,135.900,144.700,205.400,0.6239
2021,17,17,42,66,16,20000,115.566,20.887,51.400,83.900,90.300,101.100,114.150,128.300,142.500,152.200,225.000,0.7704
2021,18,19,44,80,19,20000,113.413,19.856,47.600,81.900,88.400,99.600,112.700,126.700,139.400,146.700,212.000,0.7441
2022,1,25,51,83,20,20000,103.784,20.008,38.700,72.500,78.800,89.900,102.800,116.900,130.100,138.000,215.900,0.5581
2022,2,24,48,77,21,20000,104.010,22.878,36.100,69.300,75.900,87.700,102.400,118.600,134.200,144.305,212.500,0.5432
2022,3,26,44,73,21,20000,105.410,19.184,43.500,75.000,81.300,92.100,104.900,118.000,130.100,137.805,182.400,0.6037
2022,4,24,47,75,23,20000,104.357,22.722,23.700,68.700,76.000,88.400,103.300,119.200,134.200,143.500,196.900,0.5599
2022,5,21,50,75,19,20000,107.670,22.583,35.200,72.300,79.400,91.800,106.400,122.500,137.600,146.705,196.800,0.6153
2022,6,21,36,67,23,20000,103.291,19.415,40.400,72.400,78.800,89.800,102.700,116.200,128.700,136.100,190.900,0.5561
2022,7,22,41,68,19,20000,107.720,19.966,42.200,76.100,82.800,93.800,106.800,120.800,134.000,141.900,209.800,0.6402
2022,8,25,41,69,19,20000,113.889,22.626,40.700,79.100,85.800,98.000,112.700,128.700,143.700,153.005,214.800,0.7188
2022,9,18,38,61,22,20000,100.075,22.841,30.500,66.800,72.800,84.000,97.800,113.700,130.700,141.500,214.200,0.4607
2022,10,22,41,77,21,20000,104.030,19.674,39.100,73.500,79.400,90.300,103.000,116.600,129.800,138.400,197.800,0.5646
2022,11,19,41,71,17,20000,104.706,20.769,37.100,72.500,78.900,90.000,103.600,118.300,132.100,140.400,204.400,0.5715
2022,12,22,46,82,21,20000,106.856,19.602,31.300,76.400,82.800,93.400,105.900,119.100,132.400,141.100,186.000,0.6227
2022,13,24,45,74,16,20000,101.548,18.905,40.600,71.900,77.900,88.500,100.700,113.800,126.300,133.800,179.000,0.5153
2022,14,19,39,72,15,20000,107.205,21.000,38.100,74.300,81.100,92.600,106.200,120.700,134.300,143.400,201.200,0.6182
2022,15,19,43,70,21,20000,114.688,20.491,45.100,82.400,88.800,100.500,113.800,128.400,141.700,149.500,204.100,0.7582
2022,16,22,46,72,21,20000,104.239,21.724,38.900,70.000,76.700,88.900,103.500,118.400,132.800,141.300,205.100,0.5647
2022,17,20,45,75,29,20000,98.481,21.257,30.900,66.000,72.400,83.600,97.200,112.200,126.400,135.300,210.300,0.4475
2022,18,23,48,84,23,20000,87.642,16.604,31.700,61.100,66.500,76.100,87.100,98.700,109.400,115.700,154.200,0.2267
2023,1,27,46,74,18,20000,93.051,19.355,33.400,62.900,68.700,79.400,92.200,105.600,118.300,126.200,198.400,0.3453
2023,2,24,36,75,20,20000,116.283,19.259,41.700,85.300,91.790,102.900,115.900,129.100,141.300,148.300,200.500,0.7977
2023,3,25,40,73,24,20000,109.927,23.034,44.100,76.500,82.590,93.400,107.500,124.100,141.300,151.800,228.700,0.6353
2023,4,23,38,74,27,20000,107.696,22.774,43.800,73.500,79.900,91.300,106.000,122.100,138.000,147.800,215.700,0.6059
2023,5,20,41,68,23,20000,108.239,22.939,34.100,74.195,80.600,92.200,106.300,122.300,138.800,149.100,218.000,0.6151
2023,6,23,36,62,22,20000,101.201,16.816,42.000,74.495,80.100,89.600,100.500,112.300,123.200,130.300,171.200,0.5115
2023,7,22,36,64,19,20000,109.590,19.584,40.800,78.900,85.000,95.900,108.700,122.500,135.500,143.000,204.800,0.6760
2023,8,22,41,76,20,20000,114.131,20.617,40.700,81.500,88.000,99.800,113.400,127.600,141.010,149.500,208.000,0.7479
2023,9,18,38,68,23,20000,102.782,18.378,38.000,73.700,79.800,90.000,102.200,114.700,126.700,134.200,185.100,0.5475
2023,10,17,42,64,19,20000,109.955,20.210,48.900,79.200,85.000,95.700,108.600,123.100,136.600,145.200,210.900,0.6718
2023,11,23,41,69,21,20000,99.317,18.487,38.400,70.395,76.000,86.500,98.500,111.400,123.700,131.100,182.900,0.4686
2023,12,22,43,74,19,20000,107.402,20.109,33.600,75.800,82.000,93.300,106.700,120.700,133.900,141.700,186.800,0.6299
2023,13,19,34,60,17,20000,115.280,22.809,43.800,79.400,86.600,99.400,114.200,130.400,145.600,154.800,212.800,0.7399
2023,14,25,43,69,24,20000,103.954,19.279,35.300,73.200,79.900,90.600,103.400,116.600,128.910,136.900,188.600,0.5688
2023,15,23,46,74,26,20000,103.022,20.905,33.300,70.300,76.800,88.300,102.100,116.600,130.500,138.900,190.900,0.5396
2023,16,23,43,72,26,20000,110.367,21.271,46.300,78.300,84.600,95.800,108.700,123.200,138.300,148.500,207.700,0.6744
2023,17,21,47,71,23,20000,107.231,19.757,37.700,76.900,82.700,93.500,105.900,119.900,133.300,142.000,197.400,0.6236
2023,18,23,37,71,18,20000,105.887,20.415,28.300,73.500,80.100,91.800,105.200,119.525,132.500,140.400,204.400,0.6015
2024,1,22,42,82,21,20000,98.646,18.745,40.200,69.200,75.200,85.500,97.900,110.900,123.300,130.900,176.500,0.4560
2024,2,27,44,78,18,20000,97.680,20.479,32.100,66.000,72.300,83.300,96.500,110.700,124.800,133.400,189.000,0.4314
2024,3,24,43,76,17,20000,108.473,21.715,40.300,74.400,81.200,93.400,107.500,122.500,136.700,146.100,219.600,0.6363
2024,4,24,40,76,16,20000,108.310,20.185,35.900,76.200,82.900,94.200,107.700,121.700,134.700,142.400,195.500,0.6521
2024,5,20,39,64,23,20000,113.790,18.880,55.100,84.100,90.200,100.700,113.100,125.925,138.410,146.300,197.400,0.7629
2024,6,20,39,74,19,20000,109.528,19.549,39.900,77.800,84.700,96.000,109.200,122.500,134.800,142.100,192.000,0.6841
2024,7,20,41,80,24,20000,101.608,19.035,38.000,71.200,77.500,88.300,101.100,114.200,126.700,133.800,181.200,0.5239
2024,8,25,39,71,20,20000,121.545,18.390,56.700,91.900,98.300,109.100,121.000,133.625,145.600,152.900,196.300,0.8827
2024,9,24,37,64,21,20000,114.748,20.192,37.500,82.800,89.100,100.800,114.200,128.125,140.900,149.100,200.700,0.7624
2024,10,20,34,66,23,20000,102.052,18.768,45.500,74.300,79.700,89.200,100.500,112.900,125.900,135.800,200.600,0.5121
2024,11,22,38,69,19,20000,114.936,23.047,42.700,79.200,86.200,98.500,113.800,129.700,145.500,155.100,215.200,0.7290
2024,12,21,38,64,23,20000,106.243,20.436,40.200,75.200,81.000,92.000,105.000,119.000,133.200,142.305,215.700,0.6024
2024,13,26,39,70,24,20000,113.134,19.015,46.100,82.800,89.100,100.000,112.800,125.500,137.800,145.000,192.900,0.7510
2024,14,20,36,58,16,20000,120.759,22.442,47.900,86.400,93.100,105.000,119.200,135.200,150.500,159.800,226.400,0.8234
2024,15,23,42,76,20,20000,106.939,22.703,39.500,71.500,78.400,91.000,105.800,121.800,136.900,146.305,199.100,0.6016
2024,16,21,41,74,18,20000,117.506,20.144,47.200,86.200,92.200,103.600,116.600,130.600,143.800,151.800,221.400,0.8074
2024,17,18,36,75,20,20000,118.442,22.367,37.200,82.800,89.700,103.000,118.000,133.200,147.500,156.100,201.700,0.7918
2024,18,19,36,66,19,20000,115.979,22.324,36.200,80.300,87.900,100.700,115.200,130.300,144.900,154.200,208.100,0.7607
2025,1,21,41,73,26,20000,98.875,18.927,32.300,67.700,74.600,85.900,98.700,111.700,123.200,130.100,168.500,0.4733
