Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Collin Sexton,58,854,117,195,57,8,89,121,0,0,1,0,793.5,13.68
Bub Carrington,71,721,255,323,46,15,138,160,0,0,0,0,969.5,13.65
Sam Merrill,47,614,122,108,27,7,149,40,0,0,1,0,640.5,13.63
Scoot Henderson,21,283,59,81,14,7,37,57,0,0,0,0,285.0,13.57
Justin Champagnie,61,505,337,69,52,38,45,39,0,0,3,0,825.0,13.52
Egor Dëmin,52,536,165,173,42,17,124,86,0,0,1,0,701.0,13.48
Ryan Kalkbrenner,59,469,335,45,30,86,0,56,0,0,3,0,793.5,13.45
Kris Dunn,72,551,238,262,115,11,73,97,0,0,0,0,967.0,13.43
T.J. McConnell,54,508,119,275,56,9,14,63,0,0,1,0,723.0,13.39
Max Christie,67,845,223,135,40,22,159,87,0,0,0,0,897.0,13.39
Anfernee Simons,55,785,135,134,27,8,146,68,0,0,0,0,736.5,13.39
Kevin Huerter,60,581,210,147,51,32,80,56,0,0,1,0,798.5,13.31
GG Jackson,48,567,203,66,28,37,52,71,0,0,1,0,638.5,13.3
Duncan Robinson,70,836,190,144,40,22,199,48,0,0,0,0,927.5,13.25
Marcus Smart,60,568,165,168,84,22,96,87,0,0,0,0,790.0,13.17
Jordan Poole,35,467,70,106,20,14,85,60,0,0,0,0,460.0,13.14
Danny Wolf,57,508,281,127,30,32,68,73,0,0,2,0,749.0,13.14
Pelle Larsson,62,680,209,206,43,15,56,86,0,0,0,0,813.0,13.11
Chaney Johnson,9,70,43,21,9,5,5,12,0,0,0,0,117.5,13.06
Tim Hardaway Jr.,72,996,190,98,36,9,204,41,0,0,0,0,937.0,13.01
Leaky Black,6,53,30,8,3,4,9,5,0,0,0,0,78.0,13.0
Vince Williams Jr.,40,300,155,166,29,16,55,70,0,0,1,0,519.5,12.99
Brice Sensabaugh,67,944,203,111,48,9,135,100,2,0,0,0,869.5,12.98
Jaylen Wells,69,865,220,111,61,9,129,74,0,0,0,0,894.0,12.96
Zaccharie Risacher,59,589,232,71,54,33,88,54,0,0,0,0,761.5,12.91
Tyler Burton,7,73,34,6,6,2,11,8,0,0,0,0,90.0,12.86
